degree,infected_neighbors,exposure_time,shortest_path,centrality,infection_probability,infected
2,4,185,2,0.4554763784417377,0.9277,1
19,4,248,1,0.11885798957022997,0.986,1
16,5,192,3,0.5691734267387764,0.998,1
10,5,178,2,0.15642882803336522,0.995,1
10,4,140,3,0.06095833389785599,0.8107,1
21,2,73,2,0.4986678334288609,0.034,0
2,3,84,3,0.655373450046628,0.2273,0
17,2,223,2,0.854147306406393,0.1702,0
5,3,20,1,0.7828355539543036,0.4953,0
2,4,25,1,0.8572405127565482,0.9536,1
13,2,118,2,0.7600687708208905,0.0548,0
24,3,232,2,0.7032393969061393,0.8233,1
18,0,197,3,0.010137569140699632,0.0001,0
19,4,176,2,0.6261023118092105,0.9751,1
17,2,160,3,0.12048180413911769,0.0196,0
19,2,33,1,0.05866713233254106,0.0251,0
12,3,99,2,0.1564121521056554,0.2204,0
3,1,23,3,0.8232921614417502,0.0006,0
20,3,227,1,0.7438493931000214,0.9152,1
11,4,225,1,0.9487724052052123,0.9951,1
12,2,77,3,0.9789762586504105,0.0417,0
9,0,87,2,0.8932839863739821,0.0001,0
4,2,95,3,0.13292605097699917,0.0062,0
23,1,266,2,0.8783827409249804,0.0203,0
19,2,146,3,0.8386371347886453,0.0765,0
16,3,228,3,0.8710858598596973,0.7517,1
10,0,134,3,0.15168561711649142,0.0,0
20,4,209,1,0.11679182777331754,0.9816,1
13,1,158,2,0.9238088795840816,0.0056,0
11,5,83,1,0.17382664913450452,0.9963,1
11,4,262,1,0.3686217310426012,0.9887,1
5,1,212,1,0.45598484949406026,0.0062,0
2,3,230,2,0.12444252782956444,0.324,0
13,0,284,2,0.02063428803254741,0.0001,0
22,0,74,3,0.9940904697671161,0.0002,0
1,5,27,1,0.8766572448349611,0.9976,1
21,4,174,2,0.9123379293506373,0.9869,1
20,0,97,3,0.2845630692721185,0.0,0
6,1,130,3,0.22010157274543907,0.0005,0
15,1,70,1,0.4258665581754266,0.003,0
4,2,119,3,0.45331936897800684,0.0143,0
18,1,117,1,0.005599438864240636,0.0022,0
17,1,105,2,0.7792531125598329,0.0033,0
8,3,222,2,0.9966670381420173,0.776,1
1,1,177,3,0.5286908701020894,0.0012,0
24,5,142,3,0.38825869501245125,0.9971,1
11,4,33,3,0.3927518932212033,0.7818,1
22,4,171,3,0.09607713217210068,0.9155,1
16,1,52,2,0.26616181836401176,0.0007,0
19,4,94,3,0.5021327886346312,0.9171,1
18,5,124,1,0.43184800113469735,0.9989,1
4,1,42,2,0.5450347457431102,0.0006,0
9,4,116,1,0.8490656486374066,0.9839,1
11,2,80,3,0.22524230269961198,0.0093,0
12,4,254,3,0.027664180906311953,0.9197,1
1,2,257,3,0.038225445282740744,0.0169,0
13,4,1,3,0.13416880530685837,0.6439,1
3,0,180,1,0.5704829848044025,0.0003,0
18,2,192,3,0.8081848100379248,0.0982,0
17,1,113,2,0.8868059392806316,0.0043,0
23,1,140,3,0.6351132019749712,0.0032,0
18,1,236,3,0.40314325245089344,0.0035,0
9,2,113,2,0.15451470815614743,0.0134,0
24,0,19,1,0.40141833944347904,0.0001,0
10,4,111,2,0.33241513390778354,0.8898,1
8,3,76,2,0.8700258808571377,0.4433,0
22,4,114,3,0.4867193774106072,0.9364,1
9,4,69,2,0.22619589995452882,0.814,1
1,0,44,2,0.2888010668157799,0.0,0
11,0,295,2,0.136470164542689,0.0002,0
19,2,38,1,0.9185854490691312,0.1304,0
4,2,211,1,0.05034584623646854,0.0501,0
11,1,215,1,0.012846248555894224,0.0036,0
3,4,185,2,0.18298893352686874,0.8866,1
17,3,273,2,0.8108740179106257,0.8514,1
11,4,1,3,0.5234667866310813,0.7809,1
8,0,90,3,0.6258432873769864,0.0,0
5,4,55,1,0.3577316754157348,0.9186,1
14,1,173,1,0.06867798554917004,0.0033,0
16,2,190,2,0.8561581624921681,0.1295,0
23,2,269,3,0.19189427212540744,0.0718,0
10,4,113,1,0.033059200545114686,0.9246,1
4,1,70,1,0.5727041359331937,0.0023,0
20,1,277,1,0.08328922038460107,0.0107,0
15,2,201,2,0.09576185185983421,0.0328,0
17,2,229,3,0.8003770314825251,0.1218,0
2,1,133,3,0.4916095893179955,0.0008,0
7,1,134,2,0.241508452247143,0.0009,0
19,1,116,1,0.34862642335951877,0.0046,0
20,2,224,2,0.7292409788431715,0.1577,0
10,2,63,2,0.06635414475660184,0.0078,0
20,2,292,1,0.11648061593320991,0.2084,0
21,4,52,3,0.6162620349905696,0.9154,1
9,1,138,3,0.6069717344671073,0.0015,0
22,5,94,1,0.9724621845353718,0.9996,1
7,4,192,1,0.3745494812554496,0.9758,1
5,1,204,1,0.06507762717751586,0.0027,0
17,1,275,3,0.5375374348496279,0.006,0
15,1,236,2,0.6383468117617903,0.0066,0
3,1,74,1,0.13960278578624907,0.001,0
20,2,61,1,0.5528619735351967,0.0842,0
4,0,265,1,0.1977671216582646,0.0003,0
20,0,146,2,0.8447300578810684,0.0003,0
0,2,29,3,0.8351614957838297,0.0119,0
19,4,247,1,0.4296290959984418,0.9924,1
19,1,194,1,0.966743190512804,0.0293,0
19,5,7,2,0.9797738744497416,0.9974,1
16,2,234,3,0.1292510889476195,0.0347,0
11,5,182,2,0.36771380483246763,0.997,1
17,1,184,1,0.6003214700466446,0.0119,0
6,3,259,1,0.08483780958144438,0.6518,1
19,4,148,3,0.38265550381413704,0.9318,1
13,0,138,3,0.26117208401659076,0.0,0
11,5,185,3,0.9520502209667041,0.9987,1
12,2,59,2,0.4115858228314705,0.0165,0
14,2,45,3,0.7626708585475125,0.0233,0
0,3,253,2,0.38670536351217377,0.4702,0
3,3,64,1,0.13181207041883547,0.2585,0
6,0,151,2,0.8631515301608474,0.0002,0
2,5,80,3,0.00041691690310385887,0.9687,1
10,3,69,2,0.05594087397445002,0.1401,0
16,5,179,3,0.36438440589704324,0.9966,1
16,2,240,3,0.6868982555187365,0.1034,0
11,3,132,1,0.34170429529077573,0.5824,1
21,2,41,1,0.06631281762097496,0.03,0
14,5,73,1,0.3178400337341488,0.9974,1
1,4,49,3,0.2449808589901623,0.6489,1
19,5,264,3,0.005419799818197957,0.9971,1
14,3,95,1,0.5348019131804018,0.6365,1
15,4,112,1,0.11664591474418606,0.9486,1
14,2,21,2,0.2874962887966661,0.0104,0
13,2,133,2,0.6411898302224145,0.0493,0
2,4,274,3,0.7251156888229772,0.9707,1
13,0,122,3,0.26345562685602253,0.0,0
19,4,195,1,0.329193671065234,0.9857,1
7,0,54,1,0.24690923812746524,0.0001,0
15,3,42,2,0.9568886003161919,0.5032,1
0,2,219,2,0.19051972698740283,0.022,0
8,2,19,3,0.18318060363367628,0.0045,0
10,2,134,2,0.445035295831532,0.0295,0
24,2,95,2,0.18930635920056915,0.0258,0
5,2,4,1,0.15670845628560814,0.0121,0
6,2,159,1,0.09587953770108548,0.0398,0
10,3,289,3,0.6401712481082494,0.7015,1
24,4,20,3,0.612082254901896,0.9052,1
21,3,244,1,0.6501628918779663,0.9155,1
0,3,161,3,0.7733000080093962,0.3903,0
5,5,217,2,0.3263580127925758,0.9967,1
20,5,28,2,0.9184237336119215,0.9977,1
1,0,260,3,0.733204611068756,0.0002,0
21,4,3,3,0.8047085885811869,0.9129,1
7,1,272,1,0.7209621638267112,0.019,0
22,1,197,1,0.3584556454325618,0.0105,0
7,4,101,3,0.2830324880626349,0.8059,1
10,0,2,3,0.42251706957901414,0.0,0
16,5,183,1,0.09703036053335845,0.9985,1
3,4,26,3,0.4512805015659471,0.7181,1
13,5,182,2,0.04314098309523984,0.9948,1
12,4,231,2,0.003945960027194495,0.9263,1
19,5,80,1,0.9314989394746928,0.9994,1
24,0,71,3,0.6893368605878929,0.0001,0
16,5,66,3,0.5618469470659689,0.9942,1
10,0,67,2,0.34110203942305783,0.0,0
10,1,34,3,0.5705380146850741,0.0006,0
10,0,74,3,0.8915757763383317,0.0001,0
20,2,197,3,0.6523801339438646,0.0841,0
8,4,90,3,0.6024819979535042,0.8829,1
4,1,234,3,0.46020450297167803,0.0019,0
8,4,245,3,0.345697030650858,0.9426,1
0,3,228,3,0.6985471139217118,0.4907,0
2,3,161,2,0.9809809410158142,0.5993,1
2,5,94,3,0.4247576935205901,0.9879,1
19,2,278,1,0.3922052040142008,0.2789,0
18,2,61,2,0.4281134723650425,0.0233,0
17,5,139,2,0.4255439680497215,0.9972,1
11,3,136,3,0.9906247733684951,0.5818,1
17,3,223,1,0.7067782575093406,0.8929,1
4,1,164,2,0.35918444921059167,0.0012,0
22,1,239,1,0.3715023738267226,0.0153,0
12,1,275,3,0.43079692474405573,0.0038,0
23,1,117,3,0.036712187580449696,0.0008,0
3,1,262,1,0.52781640202125,0.0098,0
12,4,50,3,0.8113809515227647,0.9093,1
17,0,274,2,0.6605677932075106,0.0005,0
12,3,53,3,0.1984208467615416,0.1306,0
11,5,255,3,0.7280342413783699,0.9989,1
4,4,117,1,0.7194586063320303,0.9737,1
9,2,289,1,0.26253921564899707,0.1655,0
5,0,38,2,0.6228746568569351,0.0,0
7,5,139,1,0.6109490331219362,0.9988,1
17,0,270,1,0.8397876238561816,0.002,0
15,4,14,3,0.13607231183344126,0.6909,1
15,4,79,3,0.19483850451152274,0.8121,1
9,1,25,2,0.48596950376780523,0.0006,0
23,4,96,1,0.04414514889230703,0.9542,1
2,1,117,1,0.41559419760170657,0.0022,0
8,1,185,3,0.7882190419997233,0.003,0
2,4,77,1,0.14871439398399822,0.8847,1
8,5,47,1,0.4599487369365248,0.9967,1
24,1,50,2,0.9897692333824446,0.0045,0
9,5,281,2,0.5059200134248644,0.9989,1
22,5,285,2,0.49832382412209053,0.9994,1
12,4,66,2,0.5587935837241681,0.9061,1
17,0,58,3,0.1860043703327412,0.0,0
11,1,16,2,0.14716388268594427,0.0003,0
6,4,287,3,0.6773546291151085,0.9762,1
19,5,211,2,0.3957668099057702,0.9985,1
24,4,228,2,0.28990662821547575,0.9754,1
6,2,87,2,0.031391619919897584,0.0073,0
19,1,192,3,0.8460504971784825,0.0061,0
6,5,17,3,0.032328865844832744,0.9598,1
17,1,202,1,0.7499831240833194,0.0186,0
19,2,173,3,0.381988558998581,0.04,0
